repo_id,repo_name,stars,openrank_2025,language,created_at,description
968197216,google-gemini/gemini-cli,65237,191,TypeScript,2025-04-17,An open-source AI agent that brings the power of Gemini directly into your terminal.
214587193,supabase/supabase,86306,1128,TypeScript,2019-10-12,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications."
235901813,PostHog/posthog,28018,1128,Python,2020-01-23,"🦔 PostHog provides open-source web & product analytics, session recording, feature flagging and A/B testing that you can self-host. Get started - free."
17165658,apache/spark,41556,1124,Scala,2014-02-25,Apache Spark - A unified analytics engine for large-scale data processing
862449441,stackblitz/bolt.new,15420,1120,TypeScript,2024-09-24,"Prompt, run, edit, and deploy full-stack web applications. -- bolt.new -- Help Center: https://support.bolt.new/ -- Community Support: https://discord.com/invite/stackblitz"
131619646,dagster-io/dagster,13659,1022,Python,2018-04-30,"An orchestration platform for the development, production, and observation of data assets."
644686905,continuedev/continue,27956,990,TypeScript,2023-05-24,"⏩ Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of rules, tools, and models"
1005970753,mannaandpoem/OpenManus,67,164,,2025-06-21,
599320067,langflow-ai/langflow,92172,975,Python,2023-02-08,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
826170402,elizaOS/eliza,16495,962,TypeScript,2024-07-09,Autonomous agents for everyone
643445235,lobehub/lobe-chat,63884,937,TypeScript,2023-05-21,"🤯 Lobe Chat - an open-source, modern design AI chat framework. Supports multiple AI providers (OpenAI / Claude 4 / Gemini / DeepSeek / Ollama / Qwen), Knowledge Base (file upload / RAG ), one click install MCP Marketplace and Artifacts / Thinking. One-click FREE deployment of your private AI Agent application."
824874689,cline/cline,48326,910,TypeScript,2024-07-06,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way."
208728772,milvus-io/milvus,36214,901,Go,2019-09-16,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search"
589831718,comfyanonymous/ComfyUI,83781,896,Python,2023-01-17,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
100061716,nrwl/nx,26498,853,TypeScript,2017-08-11,"An AI-first build platform that connects everything from your editor to CI. Helping you deliver fast, without breaking things."
679366051,NVIDIA/TensorRT-LLM,11160,844,C++,2023-08-16,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and support state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that orchestrate the inference execution in performant way.
552661142,langchain-ai/langchain,112446,831,Jupyter Notebook,2022-10-17,🦜🔗 Build context-aware reasoning applications
881221486,volcengine/verl,11567,707,Python,2024-10-31,verl: Volcano Engine Reinforcement Learning for LLMs
498011141,huggingface/diffusers,29973,793,Python,2022-05-30,"🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch and FLAX."
937253475,anthropics/claude-code,26580,656,PowerShell,2025-02-22,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands."
158256479,apache/iceberg,7759,779,Java,2018-11-19,Apache Iceberg
771302083,All-Hands-AI/OpenHands,61344,771,Python,2024-03-13,"🙌 OpenHands: Code Less, Make More"
646410686,hiyouga/LLaMA-Factory,55108,757,Python,2023-05-28,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
808045485,LadybirdBrowser/ladybird,45897,735,C++,2024-05-30,Truly independent web browser
334274271,opensearch-project/OpenSearch,11237,709,Java,2021-01-29,🔎 Open source distributed and RESTful search engine.
391740664,open-metadata/OpenMetadata,7185,702,TypeScript,2021-08-01,"OpenMetadata is a unified metadata platform for data discovery, data observability, and data governance powered by a central metadata repository, in-depth column level lineage, and seamless team collaboration."
23496542,triton-lang/triton,16320,697,MLIR,2014-08-30,Development repository for the Triton language and compiler
644461337,vercel/ai,16097,691,TypeScript,2023-05-23,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents "
560704231,run-llama/llama_index,43369,689,Python,2022-11-02,LlamaIndex is the leading framework for building LLM-powered agents over your data.
673412924,modelscope/ms-swift,8952,686,Python,2023-08-01,"Use PEFT or Full-parameter to CPT/SFT/DPO/GRPO 500+ LLMs (Qwen3, Qwen3-MoE, Llama4, GLM4.5, InternLM3, DeepSeek-R1, ...) and 200+ MLLMs (Qwen2.5-VL, Qwen2.5-Omni, Qwen2-Audio, Ovis2, InternVL3, Llava, GLM4v, Phi4, ...) (AAAI 2025)."
725205304,unslothai/unsloth,42828,658,Python,2023-11-29,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train Qwen3, Llama 4, DeepSeek-R1, Gemma 3, TTS 2x faster with 70% less VRAM."
638629097,Aider-AI/aider,36123,654,Python,2023-05-09,aider is AI pair programming in your terminal
942206898,ai-dynamo/dynamo,4576,364,Rust,2025-03-03,A Datacenter Scale Distributed Inference Serving Framework
607289185,microsoft/semantic-kernel,25570,631,C#,2023-02-27,Integrate cutting-edge LLM technology quickly and easily into your apps
839037098,mastra-ai/mastra,15344,490,TypeScript,2024-08-06,"The TypeScript AI agent framework. ⚡ Assistants, RAG, observability. Supports any LLM: GPT-4, Claude, Gemini, Llama."
958830659,google/adk-python,11313,310,Python,2025-04-01,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control."
664592117,sourcegraph/cody,3791,618,TypeScript,2023-07-10,"Type less, code more: Cody is an AI code assistant that uses advanced search and codebase context to help you write and fix code."
846698999,block/goose,17583,616,Rust,2024-08-23,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM"
975734319,sst/opencode,15219,121,Go,2025-04-30,"AI coding agent, built for the terminal."
204086862,streamlit/streamlit,40633,593,Python,2019-08-24,Streamlit — A faster way to build and share data apps.
818331198,pydantic/pydantic-ai,11301,594,Python,2024-06-21,Agent Framework / shim to use Pydantic with LLMs
881458615,browser-use/browser-use,66480,595,Python,2024-10-31,🌐 Make websites accessible for AI agents. Automate tasks online with ease.
46398090,datahub-project/datahub,10877,590,Java,2015-11-18,The Metadata Platform for your Data and AI Stack
136202695,mlflow/mlflow,21360,582,Python,2018-06-05,"The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated platform."
154739597,jax-ml/jax,32946,583,Python,2018-10-25,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more"
833984877,kvcache-ai/ktransformers,14737,479,Python,2024-07-26,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations
488641606,agno-agi/agno,30798,563,Python,2022-05-04,"Full-stack framework for building Multi-Agent Systems with memory, knowledge and reasoning."
680120071,microsoft/autogen,47999,556,Python,2023-08-18,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour
600596928,danny-avila/LibreChat,28538,551,TypeScript,2023-02-12,"Enhanced ChatGPT Clone: Features Agents, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active project."
676672661,langchain-ai/langgraph,16440,542,Python,2023-08-09,Build resilient language agents as graphs.
783512367,RSSNext/Folo,30311,486,TypeScript,2024-04-08,🧡 Follow everything in one place
890668799,modelcontextprotocol/servers,61898,479,TypeScript,2024-11-19,Model Context Protocol Servers
162405963,gradio-app/gradio,39227,526,Python,2018-12-19,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
139199684,PrefectHQ/prefect,19875,478,Python,2018-06-29,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.
659402878,spring-projects/spring-ai,6258,517,Java,2023-06-27,An Application Framework for AI Engineering
634043200,modular/modular,24562,438,Mojo,2023-04-28,The Modular Platform (includes MAX & Mojo)
76474200,apache/hudi,5883,509,Java,2016-12-14,"Upserts, Deletes And Incremental Processing on Big Data."
291438522,siyuan-note/siyuan,36266,512,TypeScript,2020-08-30,"A privacy-first, self-hosted, fully open source personal knowledge management software, written in typescript and golang."
707441527,livekit/agents,6897,501,Python,2023-10-19,A powerful framework for building realtime voice AI agents 🤖🎙️📹 
915198910,yeongpin/cursor-free-vip,33468,367,Python,2025-01-11,[Support 0.49.x]（Reset Cursor AI MachineID & Bypass Higher Token Limit） Cursor Ai ，自动重置机器ID ， 免费升级使用Pro功能: You've reached your trial request limit. / Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.
605673387,labring/FastGPT,25282,497,TypeScript,2023-02-23,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration."
924058625,vllm-project/vllm-ascend,932,322,Python,2025-01-29,Community maintained hardware plugin for vLLM on Ascend
843222,scikit-learn/scikit-learn,62807,492,Python,2010-08-17,scikit-learn: machine learning in Python
86031674,wandb/wandb,10158,481,Python,2017-03-24,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production."
336274588,PaddlePaddle/PaddleNLP,12705,477,Python,2021-02-05,Easy-to-use and powerful LLM and SLM library with awesome model zoo.
607845880,AI-Hypercomputer/maxtext,1849,479,Python,2023-02-28,"A simple, performant and scalable Jax LLM!"
926087200,xinnan-tech/xiaozhi-esp32-server,5949,335,Python,2025-02-02,"本项目为xiaozhi-esp32提供后端服务，帮助您快速搭建ESP32设备控制服务器。Backend service for xiaozhi-esp32, helps you quickly build an ESP32 device control server."
631431061,apache/gravitino,1719,474,Java,2023-04-23,"World's most powerful open data catalog for building a high-performance, geo-distributed and federated metadata lake."
26783295,Kong/kong,41408,296,Lua,2014-11-17,🦍 The Cloud-Native API Gateway and AI Gateway.
447060287,apache/paimon,2899,466,Java,2022-01-12,Apache Paimon is a lake format that enables building a Realtime Lakehouse Architecture with Flink and Spark for both streaming and batch operations.
842586148,yetone/avante.nvim,15341,460,Lua,2024-08-14,Use your Neovim like using Cursor AI IDE!
575865240,AstrBotDevs/AstrBot,10962,364,Python,2022-12-08,✨ 易上手的多平台 LLM 聊天机器人及开发框架 ✨ 支持 QQ、QQ频道、Telegram、企微、飞书、钉钉 | 知识库、MCP 服务器、OpenAI、DeepSeek、Gemini、硅基流动、月之暗面、Ollama、OneAPI、Dify
208145128,iree-org/iree,3247,464,C++,2019-09-12,A retargetable MLIR-based machine learning compiler and runtime toolkit.
783512367,RSSNext/Folo,30311,486,TypeScript,2024-04-08,🧡 Follow everything in one place
678526156,marimo-team/marimo,14846,453,Python,2023-08-14,"A reactive notebook for Python — run reproducible experiments, query with SQL, execute as a script, deploy as an app, and version with git. All in a modern, AI-native editor."
66823715,intel/ipex-llm,8162,422,Python,2016-08-29,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, DeepSeek, Mixtral, Gemma, Phi, MiniCPM, Qwen-VL, MiniCPM-V, etc.) on Intel XPU (e.g., local PC with iGPU and NPU, discrete GPU such as Arc, Flex and Max); seamlessly integrate with llama.cpp, Ollama, HuggingFace, LangChain, LlamaIndex, vLLM, DeepSpeed, Axolotl, etc."
45717250,tensorflow/tensorflow,190945,412,C++,2015-11-07,An Open Source Machine Learning Framework for Everyone
615510678,camel-ai/camel,13519,420,Python,2023-03-17,🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org
192640529,HumanSignal/label-studio,23932,446,JavaScript,2019-06-19,Label Studio is a multi-type data labeling and annotation tool with standardized output format
932499430,OpenHUTB/nn,8,111,Python,2025-02-14,神经网络
55072677,weaviate/weaviate,14038,438,Go,2016-03-30,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​."
642497346,langfuse/langfuse,14299,438,TypeScript,2023-05-18,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 "
710601088,crewAIInc/crewAI,34961,432,Python,2023-10-27,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks."
464909502,huggingface/optimum-habana,191,403,Python,2022-03-01,Easy and lightning fast training of 🤗 Transformers on Habana Gaudi processor (HPU)
296416761,NVIDIA/cccl,1807,423,C++,2020-09-17,CUDA Core Compute Libraries
90506918,rapidsai/cudf,9079,428,C++,2017-05-07,cuDF - GPU DataFrame Library 
896335270,punkpeye/awesome-mcp-servers,63798,213,,2024-11-30,A collection of MCP servers.
691347156,1Panel-dev/MaxKB,17423,425,Python,2023-09-14,🔥 MaxKB is an open-source platform for building enterprise-grade agents.  MaxKB 是强大易用的开源企业级智能体平台。
5108051,opencv/opencv,83282,428,C++,2012-07-19,Open Source Computer Vision Library
814403270,Comfy-Org/ComfyUI_frontend,1226,423,TypeScript,2024-06-13,Official front-end implementation of ComfyUI
390032985,ROCm/composable_kernel,443,421,C++,2021-07-27,Composable Kernel: Performance Portable Programming Model for Machine Learning Tensor Operators
649170660,Mintplex-Labs/anything-llm,47134,398,JavaScript,2023-06-04,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more."
631517165,intel/intel-xpu-backend-for-triton,196,420,MLIR,2023-04-23,OpenAI Triton backend for Intel® GPUs
546206616,chroma-core/chroma,21345,422,Rust,2022-10-05,the AI-native open-source embedding database
862584018,modelcontextprotocol/python-sdk,16786,280,Python,2024-09-24,The official Python SDK for Model Context Protocol servers and clients
903304373,StructuredLabs/preswald,4309,217,Python,2024-12-14,"Preswald is a WASM packager for Python-based interactive data apps: bundle full complex data workflows, particularly visualizations, into single files, runnable completely in-browser, using Pyodide, DuckDB, Pandas, and Plotly, Matplotlib, etc. Build dashboards, reports, and notebooks that run offline, load fast, and share like a document."
793795224,firebase/genkit,2639,409,TypeScript,2024-04-29,"An open source framework for building AI-powered apps with familiar code-centric patterns. Genkit makes it easy to develop, integrate, and test AI features with observability and evaluations. Genkit works with various models and platforms."
239001792,Azure/AgentBaker,124,408,Go,2020-02-07,"Agent Baker is aiming to provide a centralized, portable k8s agent node provisioning lib as well as rich support on different OS image with optimized k8s binaries."
515647260,1Panel-dev/1Panel,30254,408,Go,2022-07-19,"🔥 1Panel provides an intuitive web interface and MCP Server to manage websites, files, containers, databases, and LLMs on a Linux server."
182849188,delta-io/delta,8183,409,Scala,2019-04-22,"An open-source storage framework that enables building a Lakehouse architecture with compute engines including Spark, PrestoDB, Flink, Trino, and Hive and APIs"
946380199,openai/openai-agents-python,13026,266,Python,2025-03-11,"A lightweight, powerful framework for multi-agent workflows"
653496050,xorbitsai/inference,8297,401,Python,2023-06-14,"Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop."
712225112,Genesis-Embodied-AI/Genesis,26705,355,Python,2023-10-31,A generative world for general-purpose robotics & embodied AI learning.
866513204,HKUDS/LightRAG,18877,374,Python,2024-10-02,"""LightRAG: Simple and Fast Retrieval-Augmented Generation"""
523007292,openxla/xla,3383,387,C++,2022-08-09,"A machine learning compiler for GPUs, CPUs, and ML accelerators"
235860204,deepspeedai/DeepSpeed,39527,331,Python,2020-01-23,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
654122609,InternLM/lmdeploy,6784,370,Python,2023-06-15,"LMDeploy is a toolkit for compressing, deploying, and serving LLMs."
634043200,modular/modular,24562,438,Mojo,2023-04-28,The Modular Platform (includes MAX & Mojo)
246509073,PaddlePaddle/PaddleX,5654,382,Python,2020-03-11,All-in-One Development Tool based on PaddlePaddle
222824662,dagger/dagger,14340,386,Go,2019-11-20,An open-source runtime for composable workflows. Great for AI agents and CI/CD.
638951438,comet-ml/opik,11853,385,Python,2023-05-10,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards."
942114501,camel-ai/owl,17651,131,Python,2025-03-03,🦉 OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation
736272311,pipecat-ai/pipecat,7208,378,Python,2023-12-27,Open Source framework for voice and multimodal conversational AI
979115477,bytedance/deer-flow,15766,108,Python,2025-05-07,"DeerFlow is a community-driven Deep Research framework, combining language models with tools like web search, crawling, and Python execution, while contributing back to the open-source community."
852294281,langgenius/dify-plugins,292,196,,2024-09-04,"All Dify Plugins listed in Dify Marketplace, plus illustrated plugin examples."
612344730,ChatGPTNextWeb/NextChat,85201,191,TypeScript,2023-03-10,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows
905157401,langgenius/dify-official-plugins,335,296,Python,2024-12-18,
954873280,a2aproject/A2A,18667,144,TypeScript,2025-03-25,An open protocol enabling communication and interoperability between opaque agentic applications.
33015583,keras-team/keras,63261,350,Python,2015-03-28,Deep Learning for humans
942837343,eyaltoledano/claude-task-master,19645,162,JavaScript,2025-03-04,"An AI-powered task-management system you can drop into Cursor, Lovable, Windsurf, Roo, and others."
349172057,linkedin/venice,559,361,Java,2021-03-18,"Venice, Derived Data Platform for Planet-Scale Workloads."
573661753,activepieces/activepieces,16016,334,TypeScript,2022-12-03,AI Agents & MCPs & AI Workflow Automation • (280+ MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents
156401841,sktime/sktime,9166,337,Python,2018-11-06,A unified framework for machine learning with time series
634043200,modular/modular,24562,438,Mojo,2023-04-28,The Modular Platform (includes MAX & Mojo)
826168160,docling-project/docling,34839,342,Python,2024-07-09,Get your documents ready for gen AI
807305060,LMCache/LMCache,3397,187,Python,2024-05-28,Supercharge Your LLM with the Fastest KV Cache Layer
903410228,LangChain-OpenTutorial/LangChain-OpenTutorial,754,220,Jupyter Notebook,2024-12-14,"LangChain, LangGraph Open Tutorial for everyone!"
89033556,firebase/firebase-ios-sdk,6301,353,C++,2017-04-22,Firebase SDK for Apple App Development
268163609,qdrant/qdrant,24966,346,Rust,2020-05-30,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/"
656099147,mem0ai/mem0,37501,252,Python,2023-06-20,Universal memory layer for AI Agents; Announcing OpenMemory MCP - local and secure memory management.
525592995,invoke-ai/InvokeAI,25590,324,TypeScript,2022-08-17,"Invoke is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, and serves as the foundation for multiple commercial products."
235860204,deepspeedai/DeepSpeed,39527,331,Python,2020-01-23,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
853189791,Byaidu/PDFMathTranslate,26007,216,Python,2024-09-06,PDF scientific paper translation with preserved formats - 基于 AI 完整保留排版的 PDF 文档全文双语翻译，支持 Google/DeepL/Ollama/OpenAI 等服务，提供 CLI/GUI/MCP/Docker/Zotero
861937484,aws/amazon-q-developer-cli,1313,192,Rust,2024-09-23,✨ Agentic chat experience in your terminal. Build applications using natural language.
564072810,Arize-ai/phoenix,6479,334,Jupyter Notebook,2022-11-09,AI Observability & Evaluation
679506386,menloresearch/jan,35169,286,TypeScript,2023-08-17,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer
539057023,NVIDIA/TransformerEngine,2585,310,Python,2022-09-20,"A library for accelerating Transformer models on NVIDIA GPUs, including using 8-bit floating point (FP8) precision on Hopper, Ada and Blackwell GPUs, to provide better performance with lower memory utilization in both training and inference."
850267588,78/xiaozhi-esp32,17128,285,C++,2024-08-31,An MCP-based chatbot | 一个基于MCP的聊天机器人
656264456,langchain4j/langchain4j,8516,327,Java,2023-06-20,Java version of LangChain
938921425,microsoft/AI_Agents_Hackathon,297,141,,2025-02-25,A free virtual hackathon for building AI agents with Microsoft and Azure.
799049436,gpustack/gpustack,3164,306,Python,2024-05-11,"Simple, scalable AI model deployment on GPU clusters"
60377070,vespa-engine/vespa,6260,321,Java,2016-06-03,"AI + Data, online. https://vespa.ai"
621803253,FlowiseAI/Flowise,42023,310,TypeScript,2023-03-31,"Build AI Agents, Visually"
775149161,opea-project/GenAIExamples,657,337,Shell,2024-03-20,"Generative AI Examples is a collection of GenAI examples such as ChatQnA, Copilot, which illustrate the pipeline capabilities of the Open Platform for Enterprise AI (OPEA) project."
707869465,pytorch/torchtune,5364,318,Python,2023-10-20,PyTorch native post-training library
823430322,FunAudioLLM/CosyVoice,15451,300,Python,2024-07-03,"Multi-lingual large voice generation model, providing inference, training and deployment full-stack ability."
205706595,mlrun/mlrun,1562,330,Python,2019-09-01,"MLRun is an open source MLOps platform for quickly building and managing continuous ML applications across their lifecycle. MLRun integrates into your development and CI/CD environment and automates the delivery of production data, ML pipelines, and online applications."
558188628,alibaba/higress,5986,277,Go,2022-10-27,🤖 AI Gateway | AI Native API Gateway
108102826,carla-simulator/carla,12809,240,C++,2017-10-24,Open-source simulator for autonomous driving research.
156293205,pytorch/xla,2646,298,Python,2018-11-05,Enabling PyTorch on XLA Devices (e.g. Google TPU)
143328315,mindsdb/mindsdb,34909,290,Python,2018-08-02,AI's query engine - Platform for building AI that can answer questions over large scale federated data. - The only MCP Server you'll ever need
855528273,voideditor/void,26220,182,TypeScript,2024-09-11,
526514610,dust-tt/dust,1170,298,TypeScript,2022-08-19,Custom AI assistant platform to speed up your work.
896296825,jlowin/fastmcp,15353,133,Python,2024-11-30,"🚀 The fast, Pythonic way to build MCP servers and clients"
826168160,docling-project/docling,34839,342,Python,2024-07-09,Get your documents ready for gen AI
778431525,microsoft/graphrag,26880,218,Python,2024-03-27,A modular graph-based Retrieval-Augmented Generation (RAG) system
938859604,MaiM-with-u/MaiBot,2922,181,Python,2025-02-25,麦麦bot，一款专注于 群组聊天 的赛博网友（比较专注）多平台智能体
547806116,huggingface/text-generation-inference,10367,210,Python,2022-10-08,Large Language Model Text Generation Inference
938717878,Wan-Video/Wan2.1,13350,165,Python,2025-02-25,Wan: Open and Advanced Large-Scale Video Generative Models
553878560,modal-labs/modal-client,380,269,Python,2022-10-18,Python client library for Modal
833306239,containers/ramalama,1934,299,Python,2024-07-24,"RamaLama is an open-source developer tool that simplifies the local serving of AI models from any source and facilitates their use for inference in production, all through the familiar language of containers."
139156354,cvat-ai/cvat,14147,321,Python,2018-06-29,"Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale."
917868934,huggingface/agents-course,21229,192,MDX,2025-01-16,This repository contains the Hugging Face Agents Course. 
448599559,deepflowio/deepflow,3428,286,Go,2022-01-16,eBPF Observability - Distributed Tracing and Profiling
633262635,onyx-dot-app/onyx,13215,304,Python,2023-04-27,Gen-AI Chat for Teams - Think ChatGPT if it had access to your team's unique knowledge.
278954673,fluid-cloudnative/fluid,1788,174,Go,2020-07-11,"Fluid, elastic data abstraction and acceleration for BigData/AI applications in cloud. (Project under CNCF) "
614765452,Significant-Gravitas/AutoGPT,177309,277,Python,2023-03-16,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
633927609,promptfoo/promptfoo,7758,298,TypeScript,2023-04-28,"Test your prompts, agents, and RAGs. AI Red teaming, pentesting, and vulnerability scanning for LLMs. Compare performance of GPT, Claude, Gemini, Llama, and more. Simple declarative configs with command line and CI/CD integration."
952688112,microsoft/playwright-mcp,15718,166,TypeScript,2025-03-21,Playwright MCP server
